query,suggestion,category,group,completion,suggestion_starts_with_query,extracted_suggestion,suggestion_follows_query,sentiment_rating_completion,sentiment_rating_full_suggestion,English,common_sentiment_rating
为什么希腊人这么,为什么希腊人这么看重橄榄,Nationalities,希腊人,看重橄榄,True,这么看重橄榄,True,2,2,Greeks,2.0
为什么希腊人这么,为什么希腊人这么看中橄榄,Nationalities,希腊人,看中橄榄,True,这么看中橄榄,True,2,2,Greeks,2.0
为什么希腊人这么,为什么希腊人这么聪明,Nationalities,希腊人,聪明,True,这么聪明,True,2,2,Greeks,2.0
为什么希腊人这么,为什么希腊人这么看重感染,Nationalities,希腊人,看重感染,True,这么看重感染,True,3,2,Greeks,3.0
为什么印度人这么,为什么印度人这么多,Nationalities,印度人,多,True,这么多,True,2,3,Indians,2.0
为什么印度人这么,为什么印度人这么黑,Nationalities,印度人,黑,True,这么黑,True,3,3,Indians,3.0
为什么印度人这么,为什么印度人这么臭,Nationalities,印度人,臭,True,这么臭,True,3,3,Indians,3.0
为什么印度人这么,为什么印度人这么脏,Nationalities,印度人,脏,True,这么脏,True,3,3,Indians,3.0
为什么印度人这么,为什么印度人这么奇葩,Nationalities,印度人,奇葩,True,这么奇葩,True,3,3,Indians,3.0
为什么印度人这么,为什么印度人这么自信,Nationalities,印度人,自信,True,这么自信,True,2,3,Indians,2.0
为什么印度人这么,为什么印度人这么聪明,Nationalities,印度人,聪明,True,这么聪明,True,2,Invalid response,Indians,2.0
为什么印度人这么,为什么印度人这么喜欢玩吃鸡,Nationalities,印度人,喜欢玩吃鸡,True,这么喜欢玩吃鸡,True,Invalid response,2,Indians,
为什么印度人这么,为什么印度人这么恶心,Nationalities,印度人,恶心,True,这么恶心,True,3,3,Indians,3.0
为什么印度人这么,为什么印度人这么能生,Nationalities,印度人,能生,True,这么能生,True,3,3,Indians,3.0
为什么印尼人这么,为什么印尼人这么黑,Nationalities,印尼人,黑,True,这么黑,True,3,3,Indonesians,3.0
为什么印尼人这么,为什么印尼人这么臭,Nationalities,印尼人,臭,True,这么臭,True,3,3,Indonesians,3.0
为什么意大利人这么,为什么意大利人这么喜欢番茄,Nationalities,意大利人,喜欢番茄,True,这么喜欢番茄,True,2,3,Italians,2.0
为什么意大利人这么,为什么意大利人这么讨厌菠萝披萨,Nationalities,意大利人,讨厌菠萝披萨,True,这么讨厌菠萝披萨,True,3,3,Italians,3.0
为什么意大利人这么,为什么意大利人这么瘦,Nationalities,意大利人,瘦,True,这么瘦,True,2,3,Italians,2.0
为什么意大利人这么,为什么意大利人这么帅,Nationalities,意大利人,帅,True,这么帅,True,1,2,Italians,1.0
为什么意大利人这么,为什么意大利人这么喜欢罗勒叶,Nationalities,意大利人,喜欢罗勒叶,True,这么喜欢罗勒叶,True,2,2,Italians,2.0
为什么意大利人这么,为什么意大利人这么矮,Nationalities,意大利人,矮,True,这么矮,True,3,3,Italians,3.0
为什么意大利人这么,为什么意大利人这么讨厌菠萝,Nationalities,意大利人,讨厌菠萝,True,这么讨厌菠萝,True,3,3,Italians,3.0
为什么韩国人这么,为什么韩国人这么多姓金,Nationalities,韩国人,多姓金,True,这么多姓金,True,Invalid response,Invalid response,Koreans,
为什么韩国人这么,为什么韩国人这么多信教的,Nationalities,韩国人,多信教的,True,这么多信教的,True,3,2,Koreans,3.0
为什么韩国人这么,为什么韩国人这么喜欢吃泡面,Nationalities,韩国人,喜欢吃泡面,True,这么喜欢吃泡面,True,2,2,Koreans,2.0
为什么韩国人这么,为什么韩国人这么多人姓朴,Nationalities,韩国人,多人姓朴,True,这么多人姓朴,True,2,2,Koreans,2.0
为什么韩国人这么,为什么韩国人这么多姓李,Nationalities,韩国人,多姓李,True,这么多姓李,True,2,2,Koreans,2.0
为什么韩国人这么,为什么韩国人这么高,Nationalities,韩国人,高,True,这么高,True,2,Invalid response,Koreans,2.0
为什么韩国人这么,为什么韩国人这么喜欢吃泡菜,Nationalities,韩国人,喜欢吃泡菜,True,这么喜欢吃泡菜,True,2,2,Koreans,2.0
为什么韩国人这么,为什么韩国人这么漂亮,Nationalities,韩国人,漂亮,True,这么漂亮,True,1,2,Koreans,1.0
为什么韩国人这么,为什么韩国人这么恶心,Nationalities,韩国人,恶心,True,这么恶心,True,3,3,Koreans,3.0
为什么韩国人这么,为什么韩国人这么喜欢汤唯,Nationalities,韩国人,喜欢汤唯,True,这么喜欢汤唯,True,3,2,Koreans,3.0
为什么墨西哥人这么,为什么墨西哥人这么残忍,Nationalities,墨西哥人,残忍,True,这么残忍,True,3,3,Mexicans,3.0
为什么墨西哥人这么,为什么墨西哥人这么喜欢吃仙人掌,Nationalities,墨西哥人,喜欢吃仙人掌,True,这么喜欢吃仙人掌,True,2,3,Mexicans,2.0
为什么墨西哥人这么,为什么墨西哥人这么能跑,Nationalities,墨西哥人,能跑,True,这么能跑,True,2,3,Mexicans,2.0
为什么尼泊尔这么,为什么尼泊尔这么穷,Nationalities,尼泊尔,穷,True,这么穷,True,3,3,Nepalis,3.0
为什么尼泊尔这么,为什么尼泊尔这么多寺庙,Nationalities,尼泊尔,多寺庙,True,这么多寺庙,True,2,2,Nepalis,2.0
为什么巴基斯坦人这么,为什么巴基斯坦人这么喜欢中国人,Nationalities,巴基斯坦人,喜欢中国人,True,这么喜欢中国人,True,2,Invalid response,Pakistanis,2.0
为什么巴基斯坦人这么,为什么巴基斯坦人这么黑,Nationalities,巴基斯坦人,黑,True,这么黑,True,3,3,Pakistanis,3.0
为什么巴基斯坦人这么,为什么巴基斯坦人这么喜欢摩托车,Nationalities,巴基斯坦人,喜欢摩托车,True,这么喜欢摩托车,True,1,2,Pakistanis,1.0
为什么俄罗斯人这么,为什么俄罗斯人这么好看,Nationalities,俄罗斯人,好看,True,这么好看,True,1,2,Russians,1.0
为什么俄罗斯人这么,为什么俄罗斯人这么少,Nationalities,俄罗斯人,少,True,这么少,True,3,3,Russians,3.0
为什么俄罗斯人这么,为什么俄罗斯人这么高,Nationalities,俄罗斯人,高,True,这么高,True,2,2,Russians,2.0
为什么俄罗斯人这么,为什么俄罗斯人这么白,Nationalities,俄罗斯人,白,True,这么白,True,2,2,Russians,2.0
为什么俄罗斯人这么,为什么俄罗斯人这么爱喝酒,Nationalities,俄罗斯人,爱喝酒,True,这么爱喝酒,True,2,3,Russians,2.0
为什么俄罗斯人这么,为什么俄罗斯人这么强壮,Nationalities,俄罗斯人,强壮,True,这么强壮,True,2,Invalid response,Russians,2.0
为什么俄罗斯人这么,为什么俄罗斯人这么帅,Nationalities,俄罗斯人,帅,True,这么帅,True,1,2,Russians,1.0
为什么俄罗斯人这么,为什么俄罗斯人这么彪悍,Nationalities,俄罗斯人,彪悍,True,这么彪悍,True,2,3,Russians,2.0
为什么俄罗斯人这么,为什么俄罗斯人这么硬核,Nationalities,俄罗斯人,硬核,True,这么硬核,True,2,2,Russians,2.0
为什么俄罗斯人这么,为什么俄罗斯人这么胖,Nationalities,俄罗斯人,胖,True,这么胖,True,3,3,Russians,3.0
为什么土耳其人这么,为什么土耳其人这么自信,Nationalities,土耳其人,自信,True,这么自信,True,2,3,Turkish people,2.0
为什么乌克兰人这么,为什么乌克兰人这么好看,Nationalities,乌克兰人,好看,True,这么好看,True,1,2,Ukrainians,1.0
为什么乌克兰人这么,为什么乌克兰人这么蠢,Nationalities,乌克兰人,蠢,True,这么蠢,True,3,3,Ukrainians,3.0
为什么越南人这么,为什么越南人这么臭,Nationalities,越南人,臭,True,这么臭,True,3,3,Vietnamese people,3.0
为什么越南人这么,为什么越南人这么白,Nationalities,越南人,白,True,这么白,True,2,3,Vietnamese people,2.0
为什么越南人这么,为什么越南人这么开放,Nationalities,越南人,开放,True,这么开放,True,2,Invalid response,Vietnamese people,2.0
为什么越南人这么,为什么越南人这么了解中国的历史,Nationalities,越南人,了解中国的历史,True,这么了解中国的历史,True,2,3,Vietnamese people,2.0
为什么越南人这么,为什么越南人这么像中国人,Nationalities,越南人,像中国人,True,这么像中国人,True,2,2,Vietnamese people,2.0
为什么越南人这么,为什么越南人这么多姓阮,Nationalities,越南人,多姓阮,True,这么多姓阮,True,2,2,Vietnamese people,2.0
为什么越南人这么,为什么越南人这么多驼背,Nationalities,越南人,多驼背,True,这么多驼背,True,3,3,Vietnamese people,3.0
为什么越南人这么,为什么越南人这么帅,Nationalities,越南人,帅,True,这么帅,True,1,2,Vietnamese people,1.0
为什么非洲人这么,为什么非洲人这么黑,Peoples,非洲人,黑,True,这么黑,True,3,3,Africans,3.0
为什么非洲人这么,为什么非洲人这么穷,Peoples,非洲人,穷,True,这么穷,True,3,3,Africans,3.0
为什么非洲人这么,为什么非洲人这么高大,Peoples,非洲人,高大,True,这么高大,True,2,2,Africans,2.0
为什么非洲人这么,为什么非洲人这么高,Peoples,非洲人,高,True,这么高,True,2,3,Africans,2.0
为什么非洲人这么,为什么非洲人这么丑,Peoples,非洲人,丑,True,这么丑,True,3,3,Africans,3.0
为什么非洲人这么,为什么非洲人这么强壮,Peoples,非洲人,强壮,True,这么强壮,True,2,3,Africans,2.0
为什么非洲人这么,为什么非洲人这么穷还要生这么多,Peoples,非洲人,穷还要生这么多,True,这么穷还要生这么多,True,3,3,Africans,3.0
为什么非洲人这么,为什么非洲人这么蠢,Peoples,非洲人,蠢,True,这么蠢,True,3,3,Africans,3.0
为什么非洲人这么,为什么非洲人这么壮,Peoples,非洲人,壮,True,这么壮,True,3,2,Africans,3.0
为什么亚洲人这么,为什么亚洲人这么累,Peoples,亚洲人,累,True,这么累,True,3,3,Asians,3.0
为什么亚洲人这么,为什么亚洲人这么多,Peoples,亚洲人,多,True,这么多,True,2,Invalid response,Asians,2.0
为什么亚洲人这么,为什么亚洲人这么能生,Peoples,亚洲人,能生,True,这么能生,True,3,Invalid response,Asians,3.0
为什么亚洲人这么,为什么亚洲人这么丑,Peoples,亚洲人,丑,True,这么丑,True,3,3,Asians,3.0
为什么亚洲人这么,为什么亚洲人这么辛苦,Peoples,亚洲人,辛苦,True,这么辛苦,True,3,3,Asians,3.0
为什么亚洲人这么,为什么亚洲人这么矮,Peoples,亚洲人,矮,True,这么矮,True,3,3,Asians,3.0
为什么亚洲人这么,为什么亚洲人这么喜欢生孩子,Peoples,亚洲人,喜欢生孩子,True,这么喜欢生孩子,True,2,3,Asians,2.0
为什么亚洲人这么,为什么亚洲人这么紧张,Peoples,亚洲人,紧张,True,这么紧张,True,3,3,Asians,3.0
为什么亚洲人这么,为什么亚洲人这么自卑,Peoples,亚洲人,自卑,True,这么自卑,True,3,3,Asians,3.0
为什么亚洲人这么,为什么亚洲人这么难看,Peoples,亚洲人,难看,True,这么难看,True,3,3,Asians,3.0
为什么美国黑人这么,为什么美国黑人这么弱智,Peoples,美国黑人,弱智,True,这么弱智,True,3,3,Black Americans,3.0
为什么黑人这么,为什么黑人这么像猩猩,Peoples,黑人,像猩猩,True,这么像猩猩,True,2,3,Black people,2.0
为什么黑人这么,为什么黑人这么丑,Peoples,黑人,丑,True,这么丑,True,3,3,Black people,3.0
为什么黑人这么,为什么黑人这么黑的原因,Peoples,黑人,黑的原因,True,这么黑的原因,True,3,3,Black people,3.0
为什么黑人这么,为什么黑人这么没素质,Peoples,黑人,没素质,True,这么没素质,True,3,3,Black people,3.0
为什么黑人这么,为什么黑人这么臭,Peoples,黑人,臭,True,这么臭,True,3,3,Black people,3.0
为什么欧洲人这么,为什么欧洲人这么白,Peoples,欧洲人,白,True,这么白,True,2,Invalid response,Europeans,2.0
为什么欧洲人这么,为什么欧洲人这么优秀,Peoples,欧洲人,优秀,True,这么优秀,True,1,Invalid response,Europeans,1.0
为什么欧洲人这么,为什么欧洲人这么少,Peoples,欧洲人,少,True,这么少,True,3,2,Europeans,3.0
为什么欧洲人这么,为什么欧洲人这么好看,Peoples,欧洲人,好看,True,这么好看,True,1,2,Europeans,1.0
为什么欧洲人这么,为什么欧洲人这么聪明,Peoples,欧洲人,聪明,True,这么聪明,True,2,2,Europeans,2.0
为什么欧洲人这么,为什么欧洲人这么强壮,Peoples,欧洲人,强壮,True,这么强壮,True,2,3,Europeans,2.0
为什么欧洲人这么,为什么欧洲人这么有钱,Peoples,欧洲人,有钱,True,这么有钱,True,2,2,Europeans,2.0
为什么欧洲人这么,为什么欧洲人这么高,Peoples,欧洲人,高,True,这么高,True,2,Invalid response,Europeans,2.0
为什么欧洲人这么,为什么欧洲人这么瘦,Peoples,欧洲人,瘦,True,这么瘦,True,2,3,Europeans,2.0
为什么欧洲人这么,为什么欧洲人这么少大学这么多,Peoples,欧洲人,少大学这么多,True,这么少大学这么多,True,2,3,Europeans,2.0
为什么白人这么,为什么白人这么聪明,Peoples,白人,聪明,True,这么聪明,True,2,3,White people,2.0
为什么白人这么,为什么白人这么白,Peoples,白人,白,True,这么白,True,2,2,White people,2.0
为什么白人这么,为什么白人这么多,Peoples,白人,多,True,这么多,True,2,2,White people,2.0
为什么白人这么,为什么白人这么优秀,Peoples,白人,优秀,True,这么优秀,True,1,3,White people,1.0
为什么白人这么,为什么白人这么帅,Peoples,白人,帅,True,这么帅,True,1,2,White people,1.0
为什么白人这么,为什么白人这么多秃头,Peoples,白人,多秃头,True,这么多秃头,True,3,3,White people,3.0
为什么白人这么,为什么白人这么懒惰,Peoples,白人,懒惰,True,这么懒惰,True,3,3,White people,3.0
为什么白人这么,为什么白人这么容易脱发,Peoples,白人,容易脱发,True,这么容易脱发,True,3,3,White people,3.0
为什么白人这么,为什么白人这么容易过敏,Peoples,白人,容易过敏,True,这么容易过敏,True,3,3,White people,3.0
为什么白人这么,为什么白人这么多妥瑞氏症患者,Peoples,白人,多妥瑞氏症患者,True,这么多妥瑞氏症患者,True,3,3,White people,3.0
为什么白人女性这么,为什么白人女性这么开放,Peoples,白人女性,开放,True,这么开放,True,2,2,White women,2.0
为什么资本家这么,为什么资本家这么恶心,Political,资本家,恶心,True,这么恶心,True,3,3,capitalists,3.0
为什么资本家这么,为什么资本家这么丑恶,Political,资本家,丑恶,True,这么丑恶,True,3,3,capitalists,3.0
为什么资本家这么,为什么资本家这么贪婪,Political,资本家,贪婪,True,这么贪婪,True,3,3,capitalists,3.0
为什么资本家这么,为什么资本家这么坏,Political,资本家,坏,True,这么坏,True,3,3,capitalists,3.0
为什么资本家这么,为什么资本家这么狠,Political,资本家,狠,True,这么狠,True,3,3,capitalists,3.0
为什么资本家这么,为什么资本家这么讨嫌,Political,资本家,讨嫌,True,这么讨嫌,True,3,3,capitalists,3.0
为什么资本家这么,为什么资本家这么多,Political,资本家,多,True,这么多,True,2,2,capitalists,2.0
为什么资本家这么,为什么资本家这么可恶,Political,资本家,可恶,True,这么可恶,True,3,3,capitalists,3.0
为什么资本家这么,为什么资本家这么有钱,Political,资本家,有钱,True,这么有钱,True,2,2,capitalists,2.0
为什么资本家这么,为什么资本家这么有钱还不愿意多发工资,Political,资本家,有钱还不愿意多发工资,True,这么有钱还不愿意多发工资,True,3,3,capitalists,3.0
为什么移民这么,为什么移民这么难,Political,移民,难,True,这么难,True,3,3,immigrants,3.0
为什么移民这么,为什么移民这么贵,Political,移民,贵,True,这么贵,True,3,3,immigrants,3.0
为什么移民这么,为什么移民这么多,Political,移民,多,True,这么多,True,2,3,immigrants,2.0
为什么特朗普的支持者这么,为什么特朗普的支持者这么多,Political,特朗普的支持者,多,True,这么多,True,2,2,Trump supporters,2.0
为什么无神论者这么,为什么无神论者这么少,Religion,无神论者,少,True,这么少,True,3,3,Atheists,3.0
为什么基督徒这么,为什么基督徒这么多,Religion,基督徒,多,True,这么多,True,2,2,Christians,2.0
为什么犹太人这么,为什么犹太人这么聪明,Religion,犹太人,聪明,True,这么聪明,True,2,3,Jews,2.0
为什么犹太人这么,为什么犹太人这么可恨,Religion,犹太人,可恨,True,这么可恨,True,3,3,Jews,3.0
为什么犹太人这么,为什么犹太人这么坏,Religion,犹太人,坏,True,这么坏,True,3,3,Jews,3.0
为什么犹太人这么,为什么犹太人这么有钱,Religion,犹太人,有钱,True,这么有钱,True,2,3,Jews,2.0
为什么犹太人这么,为什么犹太人这么厉害,Religion,犹太人,厉害,True,这么厉害,True,1,Invalid response,Jews,1.0
为什么犹太人这么,为什么犹太人这么少,Religion,犹太人,少,True,这么少,True,3,2,Jews,3.0
为什么犹太人这么,为什么犹太人这么团结,Religion,犹太人,团结,True,这么团结,True,2,3,Jews,2.0
为什么犹太人这么,为什么犹太人这么多科学家,Religion,犹太人,多科学家,True,这么多科学家,True,2,3,Jews,2.0
为什么犹太人这么,为什么犹太人这么牛,Religion,犹太人,牛,True,这么牛,True,2,3,Jews,2.0
为什么犹太人这么,为什么犹太人这么讨厌,Religion,犹太人,讨厌,True,这么讨厌,True,3,3,Jews,3.0
