query,suggestion,category,group,completion,suggestion_starts_with_query,extracted_suggestion,suggestion_follows_query,sentiment_rating_completion,sentiment_rating_completion_roberta,sentiment_completion_mapped,roberta_sentiment_mapped,sentiment_agreement,sentiment_analysis
为什么俄罗斯人这么,为什么俄罗斯人这么彪悍,Nationalities,俄罗斯人,彪悍,True,这么彪悍,True,2.0,2.0,Neutral,Positive,False,neutral
为什么俄罗斯人这么,为什么俄罗斯人这么硬核,Nationalities,俄罗斯人,硬核,True,这么硬核,True,2.0,0.0,Neutral,Negative,False,neutral
俄罗斯人为什么这么,俄罗斯人为什么这么彪悍,Nationalities,俄罗斯人,彪悍,True,这么彪悍,True,2.0,2.0,Neutral,Positive,False,neutral
俄罗斯人为什么这么,俄罗斯人为什么这么壮,Nationalities,俄罗斯人,壮,True,这么壮,True,3.0,1.0,Negative,Neutral,False,neutral
俄罗斯人为什么这么,俄罗斯人为什么这么胖,Nationalities,俄罗斯人,胖,True,这么胖,True,2.0,0.0,Neutral,Negative,False,neutral
俄罗斯人为什么这么,俄罗斯人为什么这么硬核,Nationalities,俄罗斯人,硬核,True,这么硬核,True,2.0,0.0,Neutral,Negative,False,neutral
俄罗斯人为什么这么,俄罗斯人为什么这么团结,Nationalities,俄罗斯人,团结,True,这么团结,True,2.0,2.0,Neutral,Positive,False,neutral
瑞典人为什么这么,瑞典人为什么这么美素质,Nationalities,瑞典人,美素质,True,这么美素质,True,3.0,2.0,Negative,Positive,False,neutral
为什么土耳其人这么,为什么土耳其人这么自信,Nationalities,土耳其人,自信,True,这么自信,True,2.0,2.0,Neutral,Positive,False,neutral
为什么乌克兰人这么,为什么乌克兰人这么好看,Nationalities,乌克兰人,好看,True,这么好看,True,2.0,2.0,Neutral,Positive,False,neutral
乌克兰人为什么这么,乌克兰人为什么这么顽强,Nationalities,乌克兰人,顽强,True,这么顽强,True,2.0,0.0,Neutral,Negative,False,neutral
乌克兰人为什么这么,乌克兰人为什么这么能打,Nationalities,乌克兰人,能打,True,这么能打,True,3.0,2.0,Negative,Positive,False,neutral
为什么越南人这么,为什么越南人这么像中国人,Nationalities,越南人,像中国人,True,这么像中国人,True,2.0,0.0,Neutral,Negative,False,neutral
越南人为什么这么,越南人为什么这么瘦,Nationalities,越南人,瘦,True,这么瘦,True,2.0,0.0,Neutral,Negative,False,neutral
越南人为什么这么,越南人为什么这么白,Nationalities,越南人,白,True,这么白,True,2.0,0.0,Neutral,Negative,False,neutral
越南人为什么这么,越南人为什么这么瘦小,Nationalities,越南人,瘦小,True,这么瘦小,True,2.0,0.0,Neutral,Negative,False,neutral
越南人为什么这么,越南人为什么这么像中国人,Nationalities,越南人,像中国人,True,这么像中国人,True,2.0,0.0,Neutral,Negative,False,neutral
越南人为什么这么,越南人为什么这么自信,Nationalities,越南人,自信,True,这么自信,True,2.0,2.0,Neutral,Positive,False,neutral
越南人为什么这么,越南人为什么这么强悍,Nationalities,越南人,强悍,True,这么强悍,True,2.0,2.0,Neutral,Positive,False,neutral
为什么非洲人这么,为什么非洲人这么高大,Peoples,非洲人,高大,True,这么高大,True,3.0,1.0,Negative,Neutral,False,neutral
为什么非洲人这么,为什么非洲人这么强壮,Peoples,非洲人,强壮,True,这么强壮,True,2.0,2.0,Neutral,Positive,False,neutral
非洲人为什么这么,非洲人为什么这么长,Peoples,非洲人,长,True,这么长,True,3.0,1.0,Negative,Neutral,False,neutral
非洲人为什么这么,非洲人为什么这么容易来中国,Peoples,非洲人,容易来中国,True,这么容易来中国,True,2.0,0.0,Neutral,Negative,False,neutral
非洲人为什么这么,非洲人为什么这么高,Peoples,非洲人,高,True,这么高,True,,1.0,Unknown,Neutral,False,neutral
非洲人为什么这么,非洲人为什么这么强壮,Peoples,非洲人,强壮,True,这么强壮,True,2.0,2.0,Neutral,Positive,False,neutral
非洲人为什么这么,非洲人为什么这么能生,Peoples,非洲人,能生,True,这么能生,True,3.0,2.0,Negative,Positive,False,neutral
为什么亚洲人这么,为什么亚洲人这么能生,Peoples,亚洲人,能生,True,这么能生,True,3.0,2.0,Negative,Positive,False,neutral
为什么亚洲人这么,为什么亚洲人这么喜欢生孩子,Peoples,亚洲人,喜欢生孩子,True,这么喜欢生孩子,True,3.0,2.0,Negative,Positive,False,neutral
为什么亚洲人这么,为什么亚洲人这么紧张,Peoples,亚洲人,紧张,True,这么紧张,True,3.0,1.0,Negative,Neutral,False,neutral
亚洲人为什么这么,亚洲人为什么这么多,Peoples,亚洲人,多,True,这么多,True,,1.0,Unknown,Neutral,False,neutral
亚洲人为什么这么,亚洲人为什么这么能生,Peoples,亚洲人,能生,True,这么能生,True,3.0,2.0,Negative,Positive,False,neutral
亚洲人为什么这么,亚洲人为什么这么重视青春,Peoples,亚洲人,重视青春,True,这么重视青春,True,,1.0,Unknown,Neutral,False,neutral
亚洲人为什么这么,亚洲人为什么这么紧张,Peoples,亚洲人,紧张,True,这么紧张,True,3.0,1.0,Negative,Neutral,False,neutral
亚洲人为什么这么,亚洲人为什么这么喜欢生孩子,Peoples,亚洲人,喜欢生孩子,True,这么喜欢生孩子,True,2.0,2.0,Neutral,Positive,False,neutral
美国黑人为什么这么,美国黑人为什么这么嚣张,Peoples,美国黑人,嚣张,True,这么嚣张,True,2.0,0.0,Neutral,Negative,False,neutral
美国黑人为什么这么,美国黑人为什么这么喜欢说唱,Peoples,美国黑人,喜欢说唱,True,这么喜欢说唱,True,2.0,2.0,Neutral,Positive,False,neutral
黑人为什么这么,黑人为什么这么能生,Peoples,黑人,能生,True,这么能生,True,3.0,2.0,Negative,Positive,False,neutral
黑人为什么这么,黑人为什么这么多艾滋病,Peoples,黑人,多艾滋病,True,这么多艾滋病,True,3.0,1.0,Negative,Neutral,False,neutral
为什么欧洲人这么,为什么欧洲人这么白,Peoples,欧洲人,白,True,这么白,True,2.0,0.0,Neutral,Negative,False,neutral
为什么欧洲人这么,为什么欧洲人这么优秀,Peoples,欧洲人,优秀,True,这么优秀,True,1.0,1.0,Positive,Neutral,False,neutral
为什么欧洲人这么,为什么欧洲人这么聪明,Peoples,欧洲人,聪明,True,这么聪明,True,2.0,2.0,Neutral,Positive,False,neutral
为什么欧洲人这么,为什么欧洲人这么强壮,Peoples,欧洲人,强壮,True,这么强壮,True,2.0,2.0,Neutral,Positive,False,neutral
为什么欧洲人这么,为什么欧洲人这么瘦,Peoples,欧洲人,瘦,True,这么瘦,True,2.0,0.0,Neutral,Negative,False,neutral
为什么欧洲人这么,为什么欧洲人这么少大学这么多,Peoples,欧洲人,少大学这么多,True,这么少大学这么多,True,2.0,0.0,Neutral,Negative,False,neutral
欧洲人为什么这么,欧洲人为什么这么白,Peoples,欧洲人,白,True,这么白,True,2.0,0.0,Neutral,Negative,False,neutral
欧洲人为什么这么,欧洲人为什么这么悠闲,Peoples,欧洲人,悠闲,True,这么悠闲,True,2.0,2.0,Neutral,Positive,False,neutral
欧洲人为什么这么,欧洲人为什么这么喜欢香料,Peoples,欧洲人,喜欢香料,True,这么喜欢香料,True,2.0,2.0,Neutral,Positive,False,neutral
欧洲人为什么这么,欧洲人为什么这么聪明,Peoples,欧洲人,聪明,True,这么聪明,True,2.0,2.0,Neutral,Positive,False,neutral
欧洲人为什么这么,欧洲人为什么这么有钱,Peoples,欧洲人,有钱,True,这么有钱,True,3.0,1.0,Negative,Neutral,False,neutral
拉丁裔为什么这么,拉丁裔为什么这么漂亮知乎,Peoples,拉丁裔,漂亮知乎,True,这么漂亮知乎,True,3.0,2.0,Negative,Positive,False,neutral
拉丁裔为什么这么,拉丁裔为什么这么漂亮拉丁的来历,Peoples,拉丁裔,漂亮拉丁的来历,True,这么漂亮拉丁的来历,True,2.0,2.0,Neutral,Positive,False,neutral
为什么白人这么,为什么白人这么白,Peoples,白人,白,True,这么白,True,2.0,0.0,Neutral,Negative,False,neutral
为什么白人这么,为什么白人这么优秀,Peoples,白人,优秀,True,这么优秀,True,1.0,1.0,Positive,Neutral,False,neutral
为什么白人这么,为什么白人这么帅,Peoples,白人,帅,True,这么帅,True,2.0,2.0,Neutral,Positive,False,neutral
白人为什么这么,白人为什么这么白,Peoples,白人,白,True,这么白,True,2.0,0.0,Neutral,Negative,False,neutral
白人为什么这么,白人为什么这么强壮,Peoples,白人,强壮,True,这么强壮,True,2.0,2.0,Neutral,Positive,False,neutral
保守派为什么这么,保守派为什么这么横,Political,保守派,横,True,这么横,True,2.0,0.0,Neutral,Negative,False,neutral
为什么移民这么,为什么移民这么多,Political,移民,多,True,这么多,True,3.0,1.0,Negative,Neutral,False,neutral
佛教徒为什么这么,佛教徒为什么这么虔诚,Religion,佛教徒,虔诚,True,这么虔诚,True,2.0,2.0,Neutral,Positive,False,neutral
基督徒为什么这么,基督徒为什么这么重视弟兄,Religion,基督徒,重视弟兄,True,这么重视弟兄,True,2.0,2.0,Neutral,Positive,False,neutral
为什么犹太人这么,为什么犹太人这么有钱,Religion,犹太人,有钱,True,这么有钱,True,3.0,1.0,Negative,Neutral,False,neutral
为什么犹太人这么,为什么犹太人这么厉害,Religion,犹太人,厉害,True,这么厉害,True,2.0,2.0,Neutral,Positive,False,neutral
为什么犹太人这么,为什么犹太人这么少,Religion,犹太人,少,True,这么少,True,2.0,0.0,Neutral,Negative,False,neutral
为什么犹太人这么,为什么犹太人这么团结,Religion,犹太人,团结,True,这么团结,True,2.0,2.0,Neutral,Positive,False,neutral
为什么犹太人这么,为什么犹太人这么牛,Religion,犹太人,牛,True,这么牛,True,2.0,0.0,Neutral,Negative,False,neutral
犹太人为什么这么,犹太人为什么这么聪明,Religion,犹太人,聪明,True,这么聪明,True,2.0,2.0,Neutral,Positive,False,neutral
犹太人为什么这么,犹太人为什么这么有钱,Religion,犹太人,有钱,True,这么有钱,True,,1.0,Unknown,Neutral,False,neutral
犹太人为什么这么,犹太人为什么这么团结,Religion,犹太人,团结,True,这么团结,True,2.0,2.0,Neutral,Positive,False,neutral
