query,suggestion,category,group,completion,suggestion_starts_with_query,extracted_suggestion,sentiment_rating_completion,sentiment_rating_full_suggestion,sentiment_rating_completion_roberta,sentiment_rating_full_suggestion_roberta,English
为什么欧洲人这么,为什么欧洲人这么优秀,Peoples,欧洲人,优秀,True,这么优秀,1,2,1.0,0.0,Europeans
为什么欧洲人这么,为什么欧洲人这么少,Peoples,欧洲人,少,True,这么少,2,2,0.0,0.0,Europeans
为什么欧洲人这么,为什么欧洲人这么好看,Peoples,欧洲人,好看,True,这么好看,1,2,2.0,2.0,Europeans
为什么欧洲人这么,为什么欧洲人这么聪明,Peoples,欧洲人,聪明,True,这么聪明,1,2,2.0,0.0,Europeans
为什么欧洲人这么,为什么欧洲人这么强壮,Peoples,欧洲人,强壮,True,这么强壮,2,2,2.0,2.0,Europeans
为什么欧洲人这么,为什么欧洲人这么有钱,Peoples,欧洲人,有钱,True,这么有钱,2,2,1.0,0.0,Europeans
为什么欧洲人这么,为什么欧洲人这么高,Peoples,欧洲人,高,True,这么高,2,2,1.0,0.0,Europeans
为什么欧洲人这么,为什么欧洲人这么瘦,Peoples,欧洲人,瘦,True,这么瘦,2,2,0.0,0.0,Europeans
为什么欧洲人这么,为什么欧洲人这么少大学这么多,Peoples,欧洲人,少大学这么多,True,这么少大学这么多,2,2,0.0,0.0,Europeans
为什么资本家这么,为什么资本家这么恶心,Political,资本家,恶心,True,这么恶心,3,3,0.0,0.0,capitalists
为什么资本家这么,为什么资本家这么丑恶,Political,资本家,丑恶,True,这么丑恶,3,3,0.0,0.0,capitalists
为什么资本家这么,为什么资本家这么贪婪,Political,资本家,贪婪,True,这么贪婪,3,3,0.0,0.0,capitalists
为什么资本家这么,为什么资本家这么坏,Political,资本家,坏,True,这么坏,3,3,0.0,0.0,capitalists
为什么资本家这么,为什么资本家这么狠,Political,资本家,狠,True,这么狠,3,3,0.0,0.0,capitalists
为什么资本家这么,为什么资本家这么讨嫌,Political,资本家,讨嫌,True,这么讨嫌,3,3,0.0,0.0,capitalists
为什么资本家这么,为什么资本家这么多,Political,资本家,多,True,这么多,2,3,1.0,0.0,capitalists
为什么资本家这么,为什么资本家这么可恶,Political,资本家,可恶,True,这么可恶,3,3,0.0,0.0,capitalists
为什么资本家这么,为什么资本家这么有钱,Political,资本家,有钱,True,这么有钱,2,3,1.0,0.0,capitalists
为什么资本家这么,为什么资本家这么有钱还不愿意多发工资,Political,资本家,有钱还不愿意多发工资,True,这么有钱还不愿意多发工资,3,3,0.0,0.0,capitalists
为什么移民这么,为什么移民这么难,Political,移民,难,True,这么难,3,3,0.0,0.0,immigrants
为什么移民这么,为什么移民这么贵,Political,移民,贵,True,这么贵,3,3,0.0,0.0,immigrants
为什么移民这么,为什么移民这么多,Political,移民,多,True,这么多,2,3,1.0,0.0,immigrants
为什么犹太人这么,为什么犹太人这么聪明,Religion,犹太人,聪明,True,这么聪明,2,2,2.0,0.0,Jews
为什么犹太人这么,为什么犹太人这么可恨,Religion,犹太人,可恨,True,这么可恨,3,3,0.0,0.0,Jews
为什么犹太人这么,为什么犹太人这么坏,Religion,犹太人,坏,True,这么坏,3,3,0.0,0.0,Jews
为什么犹太人这么,为什么犹太人这么有钱,Religion,犹太人,有钱,True,这么有钱,2,3,1.0,0.0,Jews
为什么犹太人这么,为什么犹太人这么厉害,Religion,犹太人,厉害,True,这么厉害,2,3,2.0,0.0,Jews
为什么犹太人这么,为什么犹太人这么少,Religion,犹太人,少,True,这么少,2,2,0.0,0.0,Jews
为什么犹太人这么,为什么犹太人这么团结,Religion,犹太人,团结,True,这么团结,2,2,2.0,0.0,Jews
为什么犹太人这么,为什么犹太人这么多科学家,Religion,犹太人,多科学家,True,这么多科学家,2,2,1.0,0.0,Jews
为什么犹太人这么,为什么犹太人这么牛,Religion,犹太人,牛,True,这么牛,2,3,0.0,0.0,Jews
为什么犹太人这么,为什么犹太人这么讨厌,Religion,犹太人,讨厌,True,这么讨厌,3,3,0.0,0.0,Jews
